Date,ACWI,AGG,ARCC,ARKK,BIL,BIZD,BTC-USD,BX,DBMF,ETH-USD,IEF,KKR,KMLM,PSP,QAI,QQQ,SMH,SPY,^IRX
2020-12-02,80.67607116699219,101.3621826171875,10.427763938903809,108.75857543945312,78.45590209960938,8.327043533325195,19201.091796875,51.83236312866211,18.828365325927734,598.3523559570312,104.88819885253906,37.5318717956543,21.61567497253418,48.49740982055664,28.87714958190918,294.71026611328125,103.05870819091797,340.9364929199219,0.07500000298023224
2020-12-03,80.81243133544922,101.53446960449219,10.624516487121582,110.6367416381836,78.45590209960938,8.44029426574707,19445.3984375,51.66408157348633,18.95328712463379,616.708740234375,105.16914367675781,37.5318717956543,21.904287338256836,48.7603759765625,28.94021987915039,295.12738037109375,103.02005004882812,340.8435363769531,0.07500000298023224
2020-12-04,81.52146911621094,101.25890350341797,10.624516487121582,113.45396423339844,78.46446228027344,8.517784118652344,18699.765625,52.20260238647461,18.975109100341797,569.3541870117188,104.75653076171875,37.8668098449707,21.74921226501465,48.9106330871582,29.0032901763916,296.3300476074219,106.02603149414062,343.78082275390625,0.07500000298023224
2020-12-07,81.33056640625,101.41389465332031,10.612220764160156,116.83269500732422,78.44734191894531,8.398571968078613,19191.630859375,52.15210723876953,18.93597984313965,591.8433837890625,105.08137512207031,38.153907775878906,21.908594131469727,48.72280502319336,29.030323028564453,298.0079650878906,106.63011932373047,343.07440185546875,0.07000000029802322
2020-12-08,81.61235046386719,101.42249298095703,10.599922180175781,118.27519989013672,78.44734191894531,8.398571968078613,18321.14453125,52.54759979248047,18.92393684387207,554.8277587890625,105.18670654296875,38.02949905395508,21.736286163330078,48.98575973510742,29.048343658447266,299.0167541503906,106.77027893066406,344.0783386230469,0.06800000369548798
2020-12-09,81.03968048095703,101.27613830566406,10.581477165222168,116.15502166748047,78.44734191894531,8.368766784667969,18553.916015625,52.49709701538086,18.87727928161621,573.4791259765625,105.0374755859375,37.46487808227539,21.908594131469727,48.68524169921875,28.97626304626465,292.2467956542969,103.46466064453125,340.9922180175781,0.07000000029802322
2020-12-10,81.25785827636719,101.52583312988281,10.366283416748047,121.2085952758789,78.44734191894531,8.309161186218262,18264.9921875,52.884159088134766,19.067668914794922,559.6785278320312,105.27449798583984,37.33090591430664,21.77505874633789,48.835506439208984,29.07537078857422,293.4202880859375,103.5419921875,340.8807678222656,0.07000000029802322
2020-12-11,81.04876708984375,101.63778686523438,10.440062522888184,119.92100524902344,78.45590209960938,8.344925880432129,18058.904296875,53.71718215942383,18.955541610717773,545.79736328125,105.48521423339844,37.9146614074707,21.82244110107422,48.647674560546875,29.012300491333008,292.7704162597656,102.70108032226562,340.48095703125,0.06499999761581421
2020-12-14,80.80693817138672,101.57746887207031,10.276344299316406,120.28888702392578,78.44734191894531,8.315122604370117,19246.64453125,53.10293197631836,18.94651222229004,586.0111694335938,105.42375183105469,37.5318717956543,21.873271942138672,48.835506439208984,29.057350158691406,294.89453125,103.74980926513672,338.95660400390625,0.05999999865889549
2020-12-15,81.83293151855469,101.63778686523438,10.383390426635742,120.33729553222656,78.44734191894531,8.374730110168457,19417.076171875,54.8110466003418,19.158729553222656,589.3555908203125,105.31841278076172,37.92422866821289,21.968900680541992,49.6243782043457,29.13844108581543,298.04681396484375,105.37844848632812,343.5391845703125,0.07000000029802322
2020-12-16,82.03446960449219,101.59473419189453,10.452657699584961,119.99845886230469,78.45590209960938,8.392611503601074,21310.59765625,54.63435745239258,19.263328552246094,636.1818237304688,105.23062133789062,38.4792594909668,21.923240661621094,49.81221389770508,29.16547203063965,299.6860046386719,105.33494567871094,344.0783386230469,0.07500000298023224
2020-12-17,82.6207504272461,101.5904312133789,10.458950996398926,122.05086517333984,78.45590209960938,8.392611503601074,22805.162109375,54.97932815551758,19.397279739379883,642.8689575195312,105.15422058105469,38.68022155761719,22.141206741333008,50.33814239501953,29.255571365356445,301.6452331542969,105.310791015625,346.00238037109375,0.07999999821186066
2020-12-18,82.24515533447266,101.53868865966797,10.43376636505127,123.24166107177734,78.45590209960938,8.350883483886719,23137.9609375,54.3566780090332,19.346107482910156,654.8119506835938,105.0663070678711,38.31658172607422,22.00422477722168,50.11273193359375,29.255571365356445,300.7335205078125,104.94833374023438,344.62078857421875,0.07999999821186066
2020-12-21,81.72299194335938,101.53868865966797,10.370796203613281,127.15286254882812,78.45590209960938,8.285320281982422,22803.08203125,54.230445861816406,19.12712287902832,609.81787109375,105.13662719726562,37.9912109375,22.111053466796875,49.929935455322266,29.13844108581543,300.1709289550781,104.41886901855469,343.38861083984375,0.07800000160932541
2020-12-22,81.58557891845703,101.68522644042969,10.270049095153809,130.74459838867188,78.45590209960938,8.195910453796387,23783.029296875,54.558616638183594,18.954036712646484,634.8541870117188,105.31231689453125,37.79026412963867,21.864654541015625,49.929935455322266,29.147451400756836,300.98712158203125,104.23393249511719,342.8098449707031,0.07800000160932541
2020-12-23,81.97034454345703,101.61629486083984,10.32672119140625,130.65745544433594,78.44734191894531,8.2793607711792,23241.345703125,54.73531723022461,19.136152267456055,583.714599609375,105.09269714355469,37.9433708190918,22.2652645111084,50.463134765625,29.210519790649414,299.4712829589844,103.45530700683594,343.1179504394531,0.07500000298023224
2020-12-24,82.07110595703125,101.71109008789062,10.307829856872559,128.7889862060547,78.45590209960938,8.273397445678711,23735.94921875,54.68482971191406,19.063907623291016,611.607177734375,105.24203491210938,38.125186920166016,22.1455135345459,50.463134765625,29.219532012939453,300.7927551269531,104.56485748291016,344.4527282714844,0.07500000298023224
